id	name	kind
Anatomy::UBERON:0001796	aqueous humor of eyeball	Anatomy
Anatomy::UBERON:0001805	autonomic ganglion	Anatomy
Anatomy::UBERON:0001814	brachial nerve plexus	Anatomy
Anatomy::UBERON:0001815	lumbosacral nerve plexus	Anatomy
Anatomy::UBERON:0001818	tarsal gland	Anatomy
Anatomy::UBERON:0001820	sweat gland	Anatomy
Anatomy::UBERON:0001821	sebaceous gland	Anatomy
Anatomy::UBERON:0001825	paranasal sinus	Anatomy
Anatomy::UBERON:0001827	secretion of lacrimal gland	Anatomy
Anatomy::UBERON:0001831	parotid gland	Anatomy
Anatomy::UBERON:0001832	sublingual gland	Anatomy
Anatomy::UBERON:0001833	lip	Anatomy
Anatomy::UBERON:0001836	saliva	Anatomy
Anatomy::UBERON:0001837	duct of salivary gland	Anatomy
Anatomy::UBERON:0001840	semicircular canal	Anatomy
Anatomy::UBERON:0001844	cochlea	Anatomy
Anatomy::UBERON:0001846	internal ear	Anatomy
Anatomy::UBERON:0001855	cochlear duct of membranous labyrinth	Anatomy
Anatomy::UBERON:0001860	endolymphatic duct	Anatomy
Anatomy::UBERON:0001864	scala tympani	Anatomy
Anatomy::UBERON:0001866	sebum	Anatomy
Anatomy::UBERON:0001884	phrenic nerve	Anatomy
Anatomy::UBERON:0001886	choroid plexus	Anatomy
Anatomy::UBERON:0001887	internal capsule of telencephalon	Anatomy
Anatomy::UBERON:0001890	forebrain	Anatomy
Anatomy::UBERON:0001891	midbrain	Anatomy
Anatomy::UBERON:0001893	telencephalon	Anatomy
Anatomy::UBERON:0001895	metencephalon	Anatomy
Anatomy::UBERON:0001896	medulla oblongata	Anatomy
Anatomy::UBERON:0001905	pineal body	Anatomy
Anatomy::UBERON:0001908	optic tract	Anatomy
Anatomy::UBERON:0001910	medial forebrain bundle	Anatomy
Anatomy::UBERON:0001911	mammary gland	Anatomy
Anatomy::UBERON:0001914	colostrum	Anatomy
Anatomy::UBERON:0001968	semen	Anatomy
Anatomy::UBERON:0001969	blood plasma	Anatomy
Anatomy::UBERON:0001970	bile	Anatomy
Anatomy::UBERON:0001971	gastric juice	Anatomy
Anatomy::UBERON:0001980	arteriole	Anatomy
Anatomy::UBERON:0001981	blood vessel	Anatomy
Anatomy::UBERON:0001985	corneal endothelium	Anatomy
Anatomy::UBERON:0001986	endothelium	Anatomy
Anatomy::UBERON:0001988	feces	Anatomy
Anatomy::UBERON:0001989	superior cervical ganglion	Anatomy
Anatomy::UBERON:0002005	enteric nervous system	Anatomy
Anatomy::UBERON:0002010	celiac nerve plexus	Anatomy
Anatomy::UBERON:0002012	pulmonary artery	Anatomy
Anatomy::UBERON:0002016	pulmonary vein	Anatomy
Anatomy::UBERON:0002017	portal vein	Anatomy
Anatomy::UBERON:0002018	synovial membrane of synovial joint	Anatomy
Anatomy::UBERON:0002019	accessory XI nerve	Anatomy
Anatomy::UBERON:0002028	hindbrain	Anatomy
Anatomy::UBERON:0002030	nipple	Anatomy
Anatomy::UBERON:0002037	cerebellum	Anatomy
Anatomy::UBERON:0002040	bronchial artery	Anatomy
Anatomy::UBERON:0002046	thyroid gland	Anatomy
Anatomy::UBERON:0002048	lung	Anatomy
Anatomy::UBERON:0002053	zona glomerulosa of adrenal gland	Anatomy
Anatomy::UBERON:0002054	zona fasciculata of adrenal gland	Anatomy
Anatomy::UBERON:0002055	zona reticularis of adrenal gland	Anatomy
Anatomy::UBERON:0002060	femoral artery	Anatomy
Anatomy::UBERON:0002061	truncus arteriosus	Anatomy
Anatomy::UBERON:0002066	umbilical vein	Anatomy
Anatomy::UBERON:0002067	dermis	Anatomy
Anatomy::UBERON:0002073	hair follicle	Anatomy
Anatomy::UBERON:0002081	cardiac atrium	Anatomy
Anatomy::UBERON:0002082	cardiac ventricle	Anatomy
Anatomy::UBERON:0002097	skin of body	Anatomy
Anatomy::UBERON:0002099	cardiac septum	Anatomy
Anatomy::UBERON:0002102	forelimb	Anatomy
Anatomy::UBERON:0002103	hindlimb	Anatomy
Anatomy::UBERON:0002107	liver	Anatomy
Anatomy::UBERON:0002110	gall bladder	Anatomy
Anatomy::UBERON:0002113	kidney	Anatomy
Anatomy::UBERON:0002129	cerebellar cortex	Anatomy
Anatomy::UBERON:0002130	cerebellar nuclear complex	Anatomy
Anatomy::UBERON:0002134	tricuspid valve	Anatomy
Anatomy::UBERON:0002135	mitral valve	Anatomy
Anatomy::UBERON:0002137	aortic valve	Anatomy
Anatomy::UBERON:0002146	pulmonary valve	Anatomy
Anatomy::UBERON:0002148	locus ceruleus	Anatomy
Anatomy::UBERON:0002162	area postrema	Anatomy
Anatomy::UBERON:0002165	endocardium	Anatomy
Anatomy::UBERON:0002185	bronchus	Anatomy
Anatomy::UBERON:0002204	musculoskeletal system	Anatomy
Anatomy::UBERON:0002205	manubrium of sternum	Anatomy
Anatomy::UBERON:0002223	endolymphatic sac	Anatomy
Anatomy::UBERON:0002226	basilar membrane of cochlea	Anatomy
Anatomy::UBERON:0002228	rib	Anatomy
Anatomy::UBERON:0002240	spinal cord	Anatomy
Anatomy::UBERON:0002250	popliteal artery	Anatomy
Anatomy::UBERON:0002275	reticular formation	Anatomy
Anatomy::UBERON:0002279	vestibular aqueduct	Anatomy
Anatomy::UBERON:0002282	stria vascularis of cochlear duct	Anatomy
Anatomy::UBERON:0002285	telencephalic ventricle	Anatomy
Anatomy::UBERON:0002286	third ventricle	Anatomy
Anatomy::UBERON:0002294	biliary system	Anatomy
Anatomy::UBERON:0002297	cerumen	Anatomy
Anatomy::UBERON:0002298	brainstem	Anatomy
Anatomy::UBERON:0002299	alveolus of lung	Anatomy
Anatomy::UBERON:0002303	juxtaglomerular apparatus	Anatomy
Anatomy::UBERON:0002347	thoracic vertebra	Anatomy
Anatomy::UBERON:0002349	myocardium	Anatomy
Anatomy::UBERON:0002351	sinoatrial node	Anatomy
Anatomy::UBERON:0002352	atrioventricular node	Anatomy
Anatomy::UBERON:0002353	atrioventricular bundle	Anatomy
Anatomy::UBERON:0002354	purkinje fiber	Anatomy
Anatomy::UBERON:0002356	perineum	Anatomy
Anatomy::UBERON:0002360	meninx	Anatomy
Anatomy::UBERON:0002361	pia mater	Anatomy
Anatomy::UBERON:0002362	arachnoid mater	Anatomy
Anatomy::UBERON:0002363	dura mater	Anatomy
Anatomy::UBERON:0002365	exocrine gland	Anatomy
Anatomy::UBERON:0002366	bulbo-urethral gland	Anatomy
Anatomy::UBERON:0002367	prostate gland	Anatomy
Anatomy::UBERON:0002368	endocrine gland	Anatomy
Anatomy::UBERON:0002369	adrenal gland	Anatomy
Anatomy::UBERON:0002371	bone marrow	Anatomy
Anatomy::UBERON:0002377	muscle of neck	Anatomy
Anatomy::UBERON:0002378	muscle of abdomen	Anatomy
Anatomy::UBERON:0002382	rectus abdominis muscle	Anatomy
Anatomy::UBERON:0002384	connective tissue	Anatomy
Anatomy::UBERON:0002385	muscle tissue	Anatomy
Anatomy::UBERON:0002386	forelimb zeugopod	Anatomy
Anatomy::UBERON:0002387	pes	Anatomy
Anatomy::UBERON:0002389	manual digit	Anatomy
Anatomy::UBERON:0002390	hematopoietic system	Anatomy
Anatomy::UBERON:0002392	nasolacrimal duct	Anatomy
Anatomy::UBERON:0002394	bile duct	Anatomy
Anatomy::UBERON:0002397	maxilla	Anatomy
Anatomy::UBERON:0002398	manus	Anatomy
Anatomy::UBERON:0002405	immune system	Anatomy
Anatomy::UBERON:0002407	pericardium	Anatomy
Anatomy::UBERON:0002410	autonomic nervous system	Anatomy
Anatomy::UBERON:0002411	clitoris	Anatomy
Anatomy::UBERON:0002413	cervical vertebra	Anatomy
Anatomy::UBERON:0002414	lumbar vertebra	Anatomy
Anatomy::UBERON:0002418	cartilage tissue	Anatomy
Anatomy::UBERON:0002422	fourth ventricle	Anatomy
Anatomy::UBERON:0002439	myenteric nerve plexus	Anatomy
Anatomy::UBERON:0002441	cervicothoracic ganglion	Anatomy
Anatomy::UBERON:0002450	decidua	Anatomy
Anatomy::UBERON:0002453	ethmoid sinus	Anatomy
Anatomy::UBERON:0002466	intestine secretion	Anatomy
Anatomy::UBERON:0002481	bone tissue	Anatomy
Anatomy::UBERON:0002486	glottis	Anatomy
Anatomy::UBERON:0002494	papillary muscle of heart	Anatomy
Anatomy::UBERON:0002497	acromion	Anatomy
Anatomy::UBERON:0002500	zygomatic arch	Anatomy
Anatomy::UBERON:0002501	oval window	Anatomy
Anatomy::UBERON:0002502	round window of inner ear	Anatomy
Anatomy::UBERON:0002512	corpus luteum	Anatomy
Anatomy::UBERON:0002515	periosteum	Anatomy
Anatomy::UBERON:0002516	epiphyseal plate	Anatomy
Anatomy::UBERON:0002517	basicranium	Anatomy
Anatomy::UBERON:0002518	otolith organ	Anatomy
Anatomy::UBERON:0002519	otolithic part of statoconial membrane	Anatomy
Anatomy::UBERON:0002521	elastic tissue	Anatomy
Anatomy::UBERON:0002522	tunica media	Anatomy
Anatomy::UBERON:0002523	tunica intima	Anatomy
Anatomy::UBERON:0002606	neuropil	Anatomy
Anatomy::UBERON:0002673	vestibular nuclear complex	Anatomy
Anatomy::UBERON:0002707	corticospinal tract	Anatomy
Anatomy::UBERON:0002741	diagonal band of Broca	Anatomy
Anatomy::UBERON:0002925	trigeminal nucleus	Anatomy
Anatomy::UBERON:0002944	spinothalamic tract of medulla	Anatomy
Anatomy::UBERON:0003092	ultimobranchial body	Anatomy
Anatomy::UBERON:0003126	trachea	Anatomy
Anatomy::UBERON:0003129	skull	Anatomy
Anatomy::UBERON:0003216	hard palate	Anatomy
Anatomy::UBERON:0003685	cranial suture	Anatomy
Anatomy::UBERON:0003889	fallopian tube	Anatomy
Anatomy::UBERON:0004288	skeleton	Anatomy
Anatomy::UBERON:0004452	carpal region	Anatomy
Anatomy::UBERON:0004535	cardiovascular system	Anatomy
Anatomy::UBERON:0004727	cochlear nerve	Anatomy
Anatomy::UBERON:0004769	diaphysis	Anatomy
Anatomy::UBERON:0006849	scapula	Anatomy
Compound::DB00014	Goserelin	Compound
Compound::DB00035	Desmopressin	Compound
Compound::DB00050	Cetrorelix	Compound
Compound::DB00091	Cyclosporine	Compound
Compound::DB00093	Felypressin	Compound
Compound::DB00104	Octreotide	Compound
Compound::DB00115	Cyanocobalamin	Compound
Compound::DB00116	Tetrahydrofolic acid	Compound
Compound::DB00117	L-Histidine	Compound
Compound::DB00118	S-Adenosylmethionine	Compound
Compound::DB00119	Pyruvic acid	Compound
Compound::DB00120	L-Phenylalanine	Compound
Compound::DB00121	Biotin	Compound
Compound::DB00122	Choline	Compound
Compound::DB00123	L-Lysine	Compound
Compound::DB00125	L-Arginine	Compound
Compound::DB00126	Vitamin C	Compound
Compound::DB00127	Spermine	Compound
Compound::DB00128	L-Aspartic Acid	Compound
Compound::DB00129	L-Ornithine	Compound
Compound::DB00130	L-Glutamine	Compound
Compound::DB00131	Adenosine monophosphate	Compound
Compound::DB00132	Alpha-Linolenic Acid	Compound
Compound::DB00133	L-Serine	Compound
Compound::DB00134	L-Methionine	Compound
Compound::DB00135	L-Tyrosine	Compound
Compound::DB00136	Calcitriol	Compound
Compound::DB00137	Xanthophyll	Compound
Compound::DB00138	L-Cystine	Compound
Compound::DB00139	Succinic acid	Compound
Compound::DB00140	Riboflavin	Compound
Compound::DB00141	N-Acetyl-D-glucosamine	Compound
Compound::DB00143	Glutathione	Compound
Compound::DB00144	Phosphatidylserine	Compound
Compound::DB00145	Glycine	Compound
Compound::DB00146	Calcidiol	Compound
Compound::DB00147	Pyridoxal	Compound
Compound::DB00148	Creatine	Compound
Compound::DB00149	L-Leucine	Compound
Compound::DB00150	L-Tryptophan	Compound
Compound::DB00151	L-Cysteine	Compound
Compound::DB00152	Thiamine	Compound
Compound::DB00153	Ergocalciferol	Compound
Compound::DB00154	Dihomo-gamma-linolenic acid	Compound
Compound::DB00155	L-Citrulline	Compound
Compound::DB00156	L-Threonine	Compound
Compound::DB00158	Folic Acid	Compound
Compound::DB00159	Icosapent	Compound
Compound::DB00160	L-Alanine	Compound
Compound::DB00161	L-Valine	Compound
Compound::DB00162	Vitamin A	Compound
Compound::DB00163	Vitamin E	Compound
Compound::DB00165	Pyridoxine	Compound
Compound::DB00166	Lipoic Acid	Compound
Compound::DB00167	L-Isoleucine	Compound
Compound::DB00168	Aspartame	Compound
Compound::DB00169	Cholecalciferol	Compound
Compound::DB00170	Menadione	Compound
Compound::DB00171	Adenosine triphosphate	Compound
Compound::DB00172	L-Proline	Compound
Compound::DB00173	Adenine	Compound
Compound::DB00174	L-Asparagine	Compound
Compound::DB00175	Pravastatin	Compound
Compound::DB00176	Fluvoxamine	Compound
Compound::DB00177	Valsartan	Compound
Compound::DB00178	Ramipril	Compound
Compound::DB00179	Masoprocol	Compound
Compound::DB00180	Flunisolide	Compound
Compound::DB00181	Baclofen	Compound
Compound::DB00182	Amphetamine	Compound
Compound::DB00183	Pentagastrin	Compound
Compound::DB00184	Nicotine	Compound
Compound::DB00185	Cevimeline	Compound
Compound::DB00186	Lorazepam	Compound
Compound::DB00187	Esmolol	Compound
Compound::DB00188	Bortezomib	Compound
Compound::DB00189	Ethchlorvynol	Compound
Compound::DB00190	Carbidopa	Compound
Compound::DB00191	Phentermine	Compound
Compound::DB00192	Indecainide	Compound
Compound::DB00193	Tramadol	Compound
Compound::DB00194	Vidarabine	Compound
Compound::DB00195	Betaxolol	Compound
Compound::DB00196	Fluconazole	Compound
Compound::DB00198	Oseltamivir	Compound
Compound::DB00199	Erythromycin	Compound
Compound::DB00200	Hydroxocobalamin	Compound
Compound::DB00201	Caffeine	Compound
Compound::DB00202	Succinylcholine	Compound
Compound::DB00203	Sildenafil	Compound
Compound::DB00204	Dofetilide	Compound
Compound::DB00205	Pyrimethamine	Compound
Compound::DB00206	Reserpine	Compound
Compound::DB00207	Azithromycin	Compound
Compound::DB00208	Ticlopidine	Compound
Compound::DB00209	Trospium	Compound
Compound::DB00210	Adapalene	Compound
Compound::DB00211	Midodrine	Compound
Compound::DB00212	Remikiren	Compound
Compound::DB00213	Pantoprazole	Compound
Compound::DB00214	Torasemide	Compound
Compound::DB00215	Citalopram	Compound
Compound::DB00216	Eletriptan	Compound
Compound::DB00217	Bethanidine	Compound
Compound::DB00218	Moxifloxacin	Compound
Compound::DB00219	Oxyphenonium	Compound
Compound::DB00220	Nelfinavir	Compound
Compound::DB00221	Isoetarine	Compound
Compound::DB00222	Glimepiride	Compound
Compound::DB00223	Diflorasone	Compound
Compound::DB00224	Indinavir	Compound
Compound::DB00225	Gadodiamide	Compound
Compound::DB00226	Guanadrel	Compound
Compound::DB00227	Lovastatin	Compound
Compound::DB00228	Enflurane	Compound
Compound::DB00229	Cefotiam	Compound
Compound::DB00230	Pregabalin	Compound
Compound::DB00231	Temazepam	Compound
Compound::DB00232	Methyclothiazide	Compound
Compound::DB00233	Aminosalicylic Acid	Compound
Compound::DB00234	Reboxetine	Compound
Compound::DB00235	Milrinone	Compound
Compound::DB00236	Pipobroman	Compound
Compound::DB00237	Butabarbital	Compound
Compound::DB00238	Nevirapine	Compound
Compound::DB00239	Oxiconazole	Compound
Compound::DB00240	Alclometasone	Compound
Compound::DB00241	Butalbital	Compound
Compound::DB00242	Cladribine	Compound
Compound::DB00243	Ranolazine	Compound
Compound::DB00244	Mesalazine	Compound
Compound::DB00245	Benzatropine	Compound
Compound::DB00246	Ziprasidone	Compound
Compound::DB00247	Methysergide	Compound
Compound::DB00248	Cabergoline	Compound
Compound::DB00249	Idoxuridine	Compound
